nama_pengguna,rating,tanggal,ulasan
Idris Permana,1,2026-07-09 14:03:10,"tolong perhatikan lagi kualitas aplikasi brimo aneh tidak bisa dibuka, cuman aplikasi ini yang jelek sistem nya tidak bisa masuk aplikasi dan tidak bisa login🤣"
BKPA-3,5,2026-07-09 13:59:02,Bagus
Muhamad Aqsha,5,2026-07-09 13:56:36,bagus
Maulana Yusuf,5,2026-07-09 13:52:03,mudah di gunakan
Dandi Oppo,1,2026-07-09 13:43:35,pas saya masukan KTP masa eror terus
iwan 1922,5,2026-07-09 13:42:22,mudah
Ujang Kardinal,5,2026-07-09 13:36:29,Aplikasi Banking terbaik di Indonesia
"So, da Dg situju",5,2026-07-09 13:30:16,sangat puas
budi gustira,1,2026-07-09 13:29:27,"Sudah berulang kali saya mencoba melakukan verifikasi wajah sesuai instruksi, namun hasilnya selalu gagal tanpa penjelasan yang jelas. Saya tidak bisa mengakses akun dan aktivitas perbankan terganggu. Keluhan serupa dialami oleh banyak nasabah, tetapi tidak ada solusi. Saya sudah datang ke cabang, menelepon call center, diarahkan bikin laporan melalui email, setelah laporan selesai dan diarahkan mencoba kembali hasilnya tetap gagal, setelah ulasan ini pasti dibalas: ""Kirim email bantuan lagi!"""
Mar Lina,5,2026-07-09 13:26:04,lebih mudah
Hasbiallah Ansor,1,2026-07-09 13:20:42,"Ambil Foto e-KTP eror terus, muncul kode eror-502. Mohon solusinya min, terima kasih."
Abubakar Ar,5,2026-07-09 13:20:39,Terbaik
Yuniar,4,2026-07-09 13:19:22,tolong dong ini kenapa pas mau transaksi malah ada kendala koneksi internet buruk padahal wifi lancar banget lampu deteksi jaringan di apk pun hijau bukann merah padahal traksaksi pentingg tolong dong bri benerin lg sistemnya
street colh,5,2026-07-09 13:16:55,transaksi cepatttt
Dina Rackil,2,2026-07-09 13:12:36,sama gagal teruss
nuryati uny,5,2026-07-09 13:10:53,terimakasih sudah banyak membantu
Siti Khatimah,5,2026-07-09 12:54:52,BRIMO tolong banget dong jangan dipersulit penggunanya. udah dupdate tp tetap nggak mau kebuka aplikasinya.
Syaiful Rizal,1,2026-07-09 12:51:01,"Udah 3 hari gak bisa daftar ,, eror terus ,, kendala di foto ktp"
Apri Adi,1,2026-07-09 12:48:28,"Aplikasi gak becus, hampir seminggu gak bisa perifikasi wajah, udah ke bank sama saja. Kalo bisa sperti bank lain, mudah gak ribet."
rizal evan,1,2026-07-09 12:43:54,aplikasi error tdk bs verifikasi login akun jelek bgt
Doni Pungkak,5,2026-07-09 12:42:23,baik
Hari Yanto,5,2026-07-09 12:38:17,bagus 👍👍
Wal Na,2,2026-07-09 12:35:13,gimana ini aplikasinya nge crash
